Campaign ID,Campaign Name,Emails Sent,Open Rate (%),Click-Through Rate (%),Conversion Rate (%),Unsubscribe Rate (%),Revenue Generated ($)
EM-0348,New Product Launch,101725.00,27.72,2.93,8.38,4.63,13528.35
EM-0349,Exclusive Offers,323868.00,5.50,11.49,4.64,0.19,68021.54
EM-0350,Flash Sale,209506.00,44.94,16.78,7.88,4.79,19048.93
EM-0351,New Product Launch,205514.00,41.24,9.23,6.22,0.18,88722.40
EM-0352,Exclusive Offers,124442.00,47.54,1.68,4.09,0.52,92646.00
EM-0353,Flash Sale,417318.00,37.55,4.13,6.22,0.60,44169.57
EM-0354,New Product Launch,418650.00,28.52,3.50,2.30,2.75,97146.41
EM-0355,Customer Appreciation,134729.00,7.38,1.43,5.01,4.67,98251.83
EM-0356,Customer Appreciation,147920.00,11.91,17.91,8.41,1.29,8874.10
EM-0357,Flash Sale,382173.00,28.74,8.10,3.11,1.53,65911.06
EM-0358,Customer Appreciation,376110.00,20.04,19.53,1.89,1.56,59684.27
EM-0359,Newsletter,211955.00,18.53,17.32,4.22,0.30,69874.17
EM-0360,Exclusive Offers,129171.00,7.45,6.19,4.22,4.38,99041.90
EM-0361,New Product Launch,430285.00,31.89,16.88,0.51,2.64,36558.29
EM-0362,New Product Launch,37971.00,44.89,7.01,5.41,0.17,92268.27
EM-0363,Holiday Discounts,62280.00,14.84,17.12,0.60,3.14,24684.92
EM-0364,Exclusive Offers,381739.00,30.41,15.95,0.60,4.95,73920.60
EM-0365,Exclusive Offers,318815.00,10.89,4.61,8.66,1.16,22392.68
EM-0366,New Product Launch,455974.00,26.04,16.23,3.35,2.55,67449.33
EM-0367,Customer Appreciation,87500.00,8.52,17.80,3.44,1.11,49796.06
EM-0368,Holiday Discounts,480932.00,34.07,9.95,4.09,4.70,23968.97
EM-0369,Newsletter,490351.00,29.53,8.01,1.13,1.11,40367.52
EM-0370,Holiday Discounts,398229.00,15.66,19.06,3.62,2.15,6805.33
EM-0371,Newsletter,236706.00,34.93,5.84,9.33,4.82,88902.59
EM-0372,Holiday Discounts,381873.00,6.57,5.83,9.94,3.39,14236.43
EM-0373,New Product Launch,20016.00,17.55,10.98,3.68,1.47,66333.78
EM-0374,Holiday Discounts,387014.00,18.33,7.69,1.05,1.32,91453.36
EM-0375,Holiday Discounts,204622.00,31.62,3.67,7.08,3.77,28698.29
EM-0376,New Product Launch,476976.00,31.01,2.30,4.22,3.18,33204.49
EM-0377,Newsletter,211837.00,23.22,15.64,5.15,1.31,54737.37
EM-0378,Holiday Discounts,257372.00,48.16,16.85,6.68,1.15,36160.55
EM-0379,Flash Sale,387003.00,48.17,11.20,6.13,3.56,46813.72
EM-0380,Holiday Discounts,496788.00,22.60,10.92,7.98,3.73,36988.50
EM-0381,Flash Sale,370766.00,21.87,10.37,1.58,4.89,67143.00
EM-0382,New Product Launch,100019.00,8.40,11.27,6.31,0.11,6849.08
EM-0383,Exclusive Offers,269760.00,9.77,7.23,3.46,2.04,51885.13
EM-0384,Exclusive Offers,183297.00,13.92,13.72,9.48,1.77,5211.03
EM-0385,Newsletter,283619.00,23.00,16.95,5.77,2.50,3767.88
EM-0386,New Product Launch,432369.00,18.62,14.01,5.91,0.94,73951.06
EM-0387,Customer Appreciation,328082.00,10.81,1.78,7.47,0.71,39319.42
EM-0388,New Product Launch,145329.00,23.37,1.50,9.47,3.76,65503.10
EM-0389,Newsletter,180848.00,36.26,15.84,9.89,1.01,88528.95
EM-0390,Flash Sale,80009.00,44.56,11.75,9.71,1.26,15173.38
EM-0391,Flash Sale,346234.00,15.14,16.86,2.48,4.52,52745.37
EM-0392,Holiday Discounts,363036.00,11.39,4.46,6.63,3.68,56413.84
EM-0393,Newsletter,379590.00,34.42,19.67,7.97,1.06,91962.03
EM-0394,Holiday Discounts,210547.00,44.37,3.47,4.22,1.67,99844.46
EM-0395,Customer Appreciation,84517.00,46.76,12.53,1.89,4.99,27991.12
EM-0396,Exclusive Offers,23508.00,23.87,5.67,8.88,2.18,38554.46
EM-0397,Newsletter,75182.00,41.61,10.75,0.90,3.57,39571.27
EM-0398,Newsletter,355379.00,14.20,2.15,9.01,4.05,88555.89
EM-0399,Newsletter,89747.00,40.64,12.27,1.50,2.35,84008.85
EM-0400,Exclusive Offers,83916.00,9.75,1.85,3.03,3.73,73141.56
EM-0401,New Product Launch,405223.00,41.09,15.13,2.93,2.28,85075.29
EM-0402,New Product Launch,375669.00,9.58,12.40,1.43,1.09,39465.29
EM-0403,Newsletter,252936.00,17.13,7.04,5.36,0.97,82539.64
EM-0404,New Product Launch,319088.00,19.73,1.03,5.52,1.28,71144.49
EM-0405,Holiday Discounts,43730.00,33.85,19.98,4.78,2.07,39237.56
EM-0406,Newsletter,391146.00,44.75,8.55,5.56,3.11,29281.23
EM-0407,Customer Appreciation,472245.00,5.02,17.52,7.23,0.22,14034.89
EM-0408,Newsletter,48920.00,27.32,14.86,5.36,4.95,20975.22
EM-0409,Newsletter,349537.00,12.65,10.92,7.38,3.76,27341.33
EM-0410,Newsletter,244271.00,23.57,9.75,9.99,3.53,20681.57
EM-0411,Customer Appreciation,27331.00,8.16,7.76,4.14,2.27,4423.54
EM-0412,Exclusive Offers,384235.00,41.63,9.10,2.32,4.22,82080.79
EM-0413,Flash Sale,395128.00,36.52,16.53,6.80,2.43,74527.16
EM-0414,Newsletter,338366.00,45.46,18.18,1.68,1.80,79183.91
EM-0415,Holiday Discounts,409793.00,45.54,2.83,6.80,4.55,24107.03
EM-0416,Customer Appreciation,288309.00,17.05,17.17,0.91,2.96,14652.22
EM-0417,Exclusive Offers,490698.00,16.21,3.06,5.25,4.78,24404.81
EM-0418,Holiday Discounts,2056.00,24.27,2.06,6.13,4.37,49459.42
EM-0419,Flash Sale,133834.00,43.33,15.43,3.96,4.32,26821.58
EM-0420,Holiday Discounts,137911.00,24.68,11.58,0.86,3.92,22237.97
EM-0421,Newsletter,344357.00,19.86,11.99,9.60,4.13,50990.21
EM-0422,Flash Sale,205456.00,9.16,1.69,1.52,2.78,20044.75
EM-0423,Customer Appreciation,320990.00,43.92,3.06,7.90,0.34,59386.84
EM-0424,Exclusive Offers,21323.00,22.65,14.33,9.04,1.31,79219.36
EM-0425,Exclusive Offers,55134.00,8.40,17.50,2.72,2.62,37938.64
EM-0426,Exclusive Offers,190724.00,17.52,5.39,5.20,0.73,17378.31
EM-0427,Newsletter,362165.00,36.45,3.42,2.69,1.47,52975.30
EM-0428,Flash Sale,264283.00,12.35,3.48,7.51,3.63,65956.16
EM-0429,Holiday Discounts,245827.00,7.36,18.85,1.53,2.87,72602.17
EM-0430,Newsletter,102823.00,45.25,19.03,0.67,1.13,59105.98
EM-0431,Exclusive Offers,289989.00,10.02,2.13,9.64,2.03,96562.93
EM-0432,Holiday Discounts,180139.00,40.30,1.23,4.12,4.59,70279.41
EM-0433,Exclusive Offers,193337.00,41.12,3.01,4.19,1.79,52708.12
EM-0434,Exclusive Offers,390894.00,37.53,17.24,5.22,4.81,96248.35
EM-0435,Flash Sale,220248.00,7.52,3.62,6.16,0.60,17298.97
EM-0436,New Product Launch,482669.00,28.43,9.67,9.47,1.56,70643.18
EM-0437,Flash Sale,154094.00,49.41,6.94,2.15,1.41,12796.48
EM-0438,New Product Launch,2275.00,44.13,9.14,9.80,0.42,24137.20
EM-0439,Flash Sale,477440.00,37.44,6.21,7.71,4.52,9382.36
EM-0440,Newsletter,463604.00,13.30,11.65,0.80,3.13,69759.81
EM-0441,Exclusive Offers,352523.00,29.22,7.59,9.28,1.61,85776.71
EM-0442,Newsletter,330929.00,12.57,12.05,7.24,0.91,40955.13
EM-0443,Newsletter,206729.00,12.70,18.13,7.41,3.77,44009.56
EM-0444,Holiday Discounts,391504.00,31.83,8.31,4.19,3.52,5795.58
EM-0445,Exclusive Offers,62754.00,36.07,4.05,7.54,3.80,79795.63
EM-0446,New Product Launch,55409.00,32.12,7.82,5.79,3.90,36331.12
EM-0447,Newsletter,492810.00,41.34,8.86,9.68,1.45,20255.29
EM-0448,New Product Launch,450177.00,24.67,9.88,5.66,3.52,27628.31
EM-0449,Customer Appreciation,257298.00,32.67,10.96,3.00,0.97,63491.73
EM-0450,Flash Sale,300538.00,49.17,17.89,1.06,3.55,45473.04
EM-0451,Exclusive Offers,318991.00,20.87,7.82,5.99,2.47,63891.24
EM-0452,New Product Launch,63684.00,13.81,18.54,1.04,1.14,92608.93
EM-0453,Exclusive Offers,119924.00,33.39,1.23,7.75,3.19,59476.32
EM-0454,Flash Sale,450063.00,10.53,12.36,8.01,0.92,96620.15
EM-0455,Customer Appreciation,189032.00,22.59,8.28,4.66,3.86,39220.00
EM-0456,Flash Sale,376871.00,5.83,14.76,6.47,0.64,14585.21
EM-0457,Newsletter,366282.00,10.55,7.10,5.60,3.79,36850.05
EM-0458,Newsletter,431823.00,5.75,8.42,1.04,2.25,74256.55
EM-0459,New Product Launch,321638.00,9.16,5.29,7.03,0.56,67102.39
EM-0460,Holiday Discounts,36196.00,18.90,7.06,7.61,3.41,39119.61
EM-0461,Customer Appreciation,73644.00,30.57,8.80,5.80,2.12,15326.38
EM-0462,Exclusive Offers,309868.00,17.43,12.91,4.83,0.93,69092.18
EM-0463,New Product Launch,415466.00,12.41,13.16,6.39,3.09,61904.29
EM-0464,Newsletter,432338.00,32.71,3.35,8.04,4.58,79922.66
EM-0465,Flash Sale,289259.00,17.61,15.03,1.25,1.18,87359.06
EM-0466,New Product Launch,403538.00,28.80,7.95,5.78,2.78,32101.32
EM-0467,New Product Launch,196781.00,28.29,16.67,4.78,4.27,31057.00
EM-0468,Flash Sale,497051.00,6.65,17.58,6.49,4.04,85449.95
EM-0469,Exclusive Offers,483183.00,30.10,9.56,6.73,1.74,51603.55
EM-0470,Flash Sale,117158.00,37.43,10.64,8.73,0.95,67974.38
EM-0471,Exclusive Offers,155783.00,14.21,4.34,7.11,3.14,99217.55
EM-0472,Flash Sale,347539.00,24.04,3.28,9.09,1.55,4300.99
EM-0473,Holiday Discounts,419720.00,13.37,8.89,9.44,3.73,23259.64
EM-0474,Customer Appreciation,83623.00,45.02,19.73,2.61,1.24,56164.16
EM-0475,Holiday Discounts,460669.00,44.87,10.27,9.84,4.12,23223.45
EM-0476,Holiday Discounts,435423.00,16.98,7.98,4.14,3.59,85310.74
EM-0477,Flash Sale,311597.00,29.85,13.57,9.05,0.41,67500.38
EM-0478,Newsletter,302266.00,40.19,10.75,8.08,3.49,6737.32
EM-0479,Customer Appreciation,234361.00,29.51,6.94,2.26,1.36,96393.09
EM-0480,Holiday Discounts,178038.00,43.94,1.71,5.05,3.00,20455.56
EM-0481,Holiday Discounts,482280.00,31.48,12.72,6.03,0.19,9682.26
EM-0482,Customer Appreciation,251485.00,21.70,9.80,4.10,2.69,9153.18
EM-0483,New Product Launch,117657.00,7.91,19.89,8.93,1.20,17732.71
EM-0484,Flash Sale,473905.00,34.28,2.75,2.90,1.86,34304.79
EM-0485,Holiday Discounts,285951.00,32.68,1.36,2.38,0.15,11748.81
EM-0486,Holiday Discounts,198243.00,42.53,4.86,6.36,0.98,23364.40
EM-0487,Exclusive Offers,255769.00,8.94,9.89,1.35,0.99,32295.57
EM-0488,New Product Launch,172393.00,37.46,15.61,4.16,3.46,77346.08
EM-0489,New Product Launch,491973.00,15.80,3.33,5.28,2.03,30770.42
EM-0490,Flash Sale,430311.00,34.47,12.72,1.72,2.03,92615.49
EM-0491,Holiday Discounts,44719.00,44.88,15.97,4.59,3.97,3606.16
EM-0492,Flash Sale,340512.00,34.64,8.92,8.72,2.15,34573.96
EM-0493,Customer Appreciation,362841.00,24.42,15.99,5.51,4.54,44574.53
EM-0494,New Product Launch,210807.00,48.61,3.00,2.51,1.58,68021.11
EM-0495,Exclusive Offers,359530.00,32.13,16.69,3.17,4.74,64463.48
EM-0496,New Product Launch,473479.00,45.80,15.80,1.58,1.92,84357.41
EM-0497,Newsletter,198717.00,13.68,18.51,2.95,0.29,2614.41
EM-0498,Newsletter,463381.00,9.09,3.22,9.73,0.59,8100.14
EM-0499,New Product Launch,321314.00,23.69,16.49,6.68,4.76,19206.83
EM-0500,Customer Appreciation,108872.00,44.17,19.22,5.48,3.88,31920.87
EM-0501,Holiday Discounts,234013.00,44.84,18.77,0.64,3.19,51400.77
EM-0502,New Product Launch,167019.00,40.59,15.21,5.76,2.80,31968.98
EM-0503,Exclusive Offers,124744.00,41.19,5.17,0.97,2.97,34655.93
EM-0504,Newsletter,388672.00,26.65,5.96,0.87,2.13,9226.37
EM-0505,Newsletter,247918.00,23.66,14.83,7.55,4.36,98115.71
EM-0506,New Product Launch,240058.00,15.29,2.65,5.57,0.73,4568.13
EM-0507,Flash Sale,358916.00,36.53,1.88,2.02,4.71,17963.29
EM-0508,Holiday Discounts,311133.00,5.34,11.97,2.07,0.34,43127.19
EM-0509,Newsletter,484743.00,5.20,4.68,4.77,4.34,3221.17
EM-0510,Customer Appreciation,337292.00,19.51,10.36,5.95,2.69,48198.62
EM-0511,Newsletter,41390.00,20.08,5.58,5.19,2.16,10180.97
EM-0512,New Product Launch,103813.00,13.57,14.08,9.39,0.86,92237.55
EM-0513,Newsletter,103574.00,22.30,19.37,6.42,2.14,57100.44
EM-0514,New Product Launch,397183.00,11.20,3.15,5.65,4.43,38278.41
EM-0515,Newsletter,411766.00,45.04,12.04,9.64,2.06,71952.03
EM-0516,Customer Appreciation,423994.00,23.61,19.12,6.84,4.69,66030.60
EM-0517,Customer Appreciation,47605.00,40.78,6.68,8.70,0.23,1420.55
EM-0518,Newsletter,234009.00,30.61,15.29,8.24,2.74,51055.18
EM-0519,Newsletter,11206.00,49.64,12.09,5.67,4.61,86482.23
EM-0520,Customer Appreciation,210101.00,48.59,17.62,6.19,1.61,31952.36
EM-0521,Flash Sale,127729.00,40.88,1.96,9.51,4.75,72376.80
EM-0522,Newsletter,463584.00,26.80,16.40,6.09,3.07,27117.56
EM-0523,New Product Launch,401687.00,15.97,18.07,5.58,3.79,76226.46
EM-0524,New Product Launch,329622.00,40.77,15.31,4.36,1.53,48291.19
EM-0525,Exclusive Offers,426500.00,21.58,6.85,9.52,0.49,5831.19
EM-0526,Exclusive Offers,209853.00,26.23,14.92,1.32,4.01,36278.30
EM-0527,Newsletter,173708.00,14.33,5.72,0.67,3.21,79200.53
EM-0528,Customer Appreciation,246381.00,15.82,4.30,7.91,0.67,80601.02
EM-0529,New Product Launch,429330.00,48.68,12.16,6.13,0.60,60696.11
EM-0530,Newsletter,354262.00,27.85,5.54,3.87,4.97,79848.78
EM-0531,Flash Sale,163966.00,7.22,12.14,4.61,2.27,47412.37
EM-0532,Holiday Discounts,433399.00,15.69,14.27,3.95,2.97,73769.35
EM-0533,Exclusive Offers,344203.00,17.98,3.38,8.03,1.60,51310.73
EM-0534,Customer Appreciation,111336.00,22.64,10.98,9.41,2.11,541.48
EM-0535,Holiday Discounts,21210.00,41.10,9.41,8.47,3.56,22065.69
EM-0536,Customer Appreciation,158054.00,49.47,5.13,7.15,4.24,89357.38
EM-0537,Newsletter,450148.00,7.73,2.14,3.28,4.50,77158.81
EM-0538,Customer Appreciation,452977.00,5.37,4.57,1.52,1.31,89538.72
EM-0539,New Product Launch,62252.00,20.52,14.98,7.12,3.89,82054.70
EM-0540,Holiday Discounts,486804.00,29.05,16.10,6.18,1.70,64328.48
EM-0541,Newsletter,108953.00,20.34,6.02,7.04,0.46,75589.35
EM-0542,New Product Launch,176781.00,22.57,9.66,4.12,4.45,23450.76
EM-0543,Exclusive Offers,422155.00,13.04,16.46,2.00,2.57,86026.67
EM-0544,Holiday Discounts,117039.00,46.58,19.01,8.82,1.71,73130.30
EM-0545,Customer Appreciation,1929.00,39.14,11.76,8.91,3.57,98444.97
EM-0546,Newsletter,203384.00,10.12,9.59,3.52,3.57,50908.95
EM-0547,Holiday Discounts,188253.00,31.45,12.92,8.25,3.68,38484.22
EM-0548,Holiday Discounts,375635.00,28.26,8.96,0.94,0.81,8809.15
EM-0549,Newsletter,215418.00,47.73,14.68,4.56,1.50,20372.91
EM-0550,Newsletter,441856.00,27.98,13.55,1.99,1.04,25180.44
EM-0551,Flash Sale,135396.00,40.75,1.96,9.82,1.50,97061.11
EM-0552,Exclusive Offers,491225.00,11.23,17.39,3.70,0.12,67829.16
EM-0553,Flash Sale,70097.00,22.38,16.95,2.13,1.47,5677.63
EM-0554,Newsletter,254606.00,14.61,6.17,2.12,3.63,65718.61
EM-0555,Customer Appreciation,498706.00,29.05,10.95,8.48,4.60,47977.83
EM-0556,Newsletter,462755.00,33.63,2.97,1.50,0.58,19139.06
EM-0557,Exclusive Offers,41079.00,44.14,18.83,1.45,1.76,8413.35
EM-0558,Exclusive Offers,338250.00,47.75,2.81,6.55,4.43,26166.39
EM-0559,Holiday Discounts,162058.00,30.77,12.74,8.12,4.34,59175.23
EM-0560,Exclusive Offers,389177.00,6.78,18.59,2.73,2.70,75645.81
EM-0561,Flash Sale,16997.00,33.33,9.08,9.29,3.31,40388.53
EM-0562,Holiday Discounts,37011.00,30.31,4.22,9.21,1.88,12925.25
EM-0563,Exclusive Offers,361048.00,18.44,1.66,3.55,4.09,62869.91
EM-0564,Exclusive Offers,183882.00,36.56,10.06,8.10,4.47,20293.58
EM-0565,New Product Launch,166677.00,29.43,4.59,4.07,4.25,15011.92
EM-0566,Customer Appreciation,217623.00,48.75,9.72,5.17,1.37,46358.91
EM-0567,Customer Appreciation,236273.00,22.15,5.72,6.85,0.46,10604.13
EM-0568,New Product Launch,438825.00,5.34,17.85,4.08,0.79,36070.22
EM-0569,Customer Appreciation,255610.00,21.50,19.75,6.28,3.15,41143.27
EM-0570,Customer Appreciation,234014.00,5.30,16.31,1.23,0.71,83269.35
EM-0571,Exclusive Offers,150824.00,30.02,8.68,2.27,2.44,64926.63
EM-0572,New Product Launch,479229.00,49.15,16.01,3.02,1.72,78920.78
EM-0573,Customer Appreciation,76669.00,17.78,12.61,1.45,0.45,24870.55
EM-0574,Newsletter,133628.00,11.11,15.45,5.37,0.15,96100.31
EM-0575,Newsletter,146973.00,47.56,13.78,2.59,3.52,57132.21
EM-0576,Newsletter,398467.00,49.96,5.82,6.60,2.10,14847.92
EM-0577,New Product Launch,289568.00,9.24,18.64,2.75,2.38,41232.30
EM-0578,Customer Appreciation,366294.00,22.09,9.32,8.71,0.58,60722.86
EM-0579,Exclusive Offers,162057.00,19.08,6.31,0.89,3.28,99111.93
EM-0580,Holiday Discounts,395652.00,26.38,5.84,1.96,2.74,63107.18
EM-0581,Flash Sale,497579.00,21.31,2.43,7.67,4.89,25467.76
EM-0582,Customer Appreciation,440558.00,45.50,14.05,1.39,3.13,58567.75
EM-0583,Customer Appreciation,198998.00,5.56,9.09,2.19,4.19,8288.77
EM-0584,Flash Sale,210169.00,29.69,5.89,4.68,4.30,72231.78
EM-0585,New Product Launch,350459.00,17.16,7.65,7.85,0.14,84653.89
EM-0586,Flash Sale,463897.00,14.87,10.72,2.77,4.11,26974.16
EM-0587,Customer Appreciation,482684.00,42.56,8.18,1.80,0.66,76272.56
EM-0588,Customer Appreciation,461938.00,32.21,10.87,0.90,1.03,26881.56
EM-0589,Flash Sale,459668.00,28.73,6.35,6.91,2.26,8125.50
EM-0590,New Product Launch,202699.00,24.35,17.69,7.04,2.18,11675.72
EM-0591,Newsletter,282728.00,26.65,3.30,9.20,0.19,85274.74
EM-0592,New Product Launch,365545.00,24.96,5.09,2.58,4.68,10654.53
EM-0593,Customer Appreciation,211283.00,42.88,4.30,2.25,1.26,73944.32
EM-0594,Exclusive Offers,499482.00,8.65,16.03,6.00,2.01,13865.69
EM-0595,Newsletter,409274.00,42.22,5.95,2.89,4.29,77435.14
EM-0596,Flash Sale,430097.00,30.97,1.49,7.32,4.62,22370.44
EM-0597,Customer Appreciation,296420.00,45.54,14.10,6.20,0.60,83867.15
EM-0598,New Product Launch,102138.00,12.33,9.24,5.99,3.96,47246.97
EM-0599,Holiday Discounts,87445.00,29.73,8.63,2.92,2.06,41853.70
EM-0600,Newsletter,132072.00,28.14,5.42,0.60,0.46,98110.95
EM-0601,New Product Launch,323850.00,49.24,16.86,6.42,0.17,20463.49
EM-0602,Newsletter,232400.00,44.19,9.68,5.57,2.75,99551.72
EM-0603,Flash Sale,123646.00,36.76,10.85,9.39,1.44,99720.93
EM-0604,Holiday Discounts,390092.00,10.49,10.30,2.18,4.50,87145.31
EM-0605,Exclusive Offers,375639.00,19.22,7.22,6.01,2.62,93560.00
EM-0606,Holiday Discounts,332157.00,10.51,12.98,7.08,4.11,71580.99
EM-0607,Exclusive Offers,140925.00,48.25,9.53,3.83,4.97,13481.15
EM-0608,New Product Launch,271885.00,49.33,18.76,3.31,0.98,1884.98
EM-0609,Flash Sale,288632.00,47.38,8.85,1.57,0.93,91361.75
EM-0610,Exclusive Offers,241676.00,6.15,19.16,4.12,2.74,5438.82
EM-0611,Newsletter,409663.00,48.58,5.07,6.47,2.60,3359.63
EM-0612,Customer Appreciation,104769.00,15.23,11.49,9.09,2.39,65096.40
EM-0613,Flash Sale,479112.00,22.95,18.00,9.86,1.50,96533.64
EM-0614,Exclusive Offers,434115.00,40.04,14.94,3.80,1.36,32962.86
EM-0615,Exclusive Offers,319574.00,41.67,5.10,9.56,2.13,93252.71
EM-0616,Flash Sale,79169.00,37.43,18.29,6.03,4.67,12485.10
EM-0617,New Product Launch,54865.00,8.48,13.32,3.12,3.52,83805.82
EM-0618,Newsletter,336021.00,18.22,1.56,1.96,4.41,27899.19
EM-0619,Customer Appreciation,441208.00,18.58,12.96,6.76,1.83,69214.25
EM-0620,Customer Appreciation,435083.00,13.41,13.65,4.17,1.61,94987.09
EM-0621,Newsletter,279805.00,44.62,7.70,6.94,1.77,4512.88
EM-0622,Customer Appreciation,114416.00,48.79,1.74,9.89,4.90,26936.68
EM-0623,Holiday Discounts,111955.00,20.40,17.59,1.02,1.64,89557.02
EM-0624,New Product Launch,86559.00,8.98,7.87,4.85,4.67,24452.23
EM-0625,Flash Sale,347841.00,18.25,6.54,0.78,2.17,70145.53
EM-0626,Flash Sale,232974.00,45.13,10.93,7.13,2.83,80607.57
EM-0627,Flash Sale,296640.00,40.07,8.31,8.75,3.11,88534.19
EM-0628,Flash Sale,268322.00,44.75,8.38,9.44,2.16,1884.21
EM-0629,Holiday Discounts,124913.00,34.52,10.38,9.33,3.92,45112.75
EM-0630,Holiday Discounts,78876.00,33.20,3.41,0.76,1.71,40537.57
EM-0631,New Product Launch,117558.00,39.49,17.26,3.89,3.35,5099.12
EM-0632,New Product Launch,332493.00,46.58,3.73,2.45,0.40,65585.39
EM-0633,Newsletter,410122.00,34.99,10.95,9.61,0.13,27763.80
EM-0634,Holiday Discounts,228087.00,28.87,8.47,5.77,4.68,68023.25
EM-0635,Holiday Discounts,325532.00,21.90,7.99,7.89,3.69,23948.69
EM-0636,Flash Sale,135215.00,12.20,16.64,9.72,4.40,97040.46
EM-0637,New Product Launch,197660.00,7.66,11.02,7.66,1.50,31958.49
EM-0638,Flash Sale,143711.00,41.69,9.52,4.69,2.81,71806.32
EM-0639,Exclusive Offers,438121.00,10.68,18.41,0.79,4.19,56994.69
EM-0640,Flash Sale,498169.00,11.11,17.27,7.06,2.38,29470.97
EM-0641,Newsletter,27007.00,44.39,4.39,2.55,0.28,37583.64
EM-0642,Flash Sale,250967.00,29.86,14.45,3.64,1.11,8114.99
EM-0643,Flash Sale,118858.00,36.50,6.33,3.58,3.36,43152.17
EM-0644,Holiday Discounts,135838.00,24.15,12.40,2.65,2.02,7403.16
EM-0645,New Product Launch,135747.00,31.70,7.24,1.45,2.54,87326.58
EM-0646,Holiday Discounts,155086.00,32.65,16.82,1.64,4.20,98650.46
EM-0647,Newsletter,129967.00,35.48,19.70,1.31,1.18,56507.73
EM-0648,Holiday Discounts,335466.00,21.45,1.51,8.82,4.08,89600.10
EM-0649,Customer Appreciation,186715.00,31.80,3.21,0.60,1.52,71524.82
EM-0650,New Product Launch,262727.00,10.51,3.06,7.45,4.64,21424.26
EM-0651,Flash Sale,362927.00,43.04,6.47,8.06,3.40,31788.91
EM-0652,New Product Launch,263955.00,47.74,14.10,9.07,4.29,44676.85
EM-0653,Holiday Discounts,31683.00,12.57,5.03,7.17,2.79,7306.26
EM-0654,Newsletter,20733.00,15.98,3.92,3.53,0.71,31450.38
EM-0655,Newsletter,113093.00,20.71,4.06,5.27,2.43,81478.71
EM-0656,New Product Launch,101627.00,38.07,2.39,4.20,2.11,82114.47
EM-0657,Customer Appreciation,233511.00,47.33,17.01,4.35,2.40,78452.83
EM-0658,New Product Launch,19071.00,41.62,3.03,6.64,1.19,82749.85
EM-0659,Customer Appreciation,360205.00,8.35,4.45,4.53,2.83,74532.82
EM-0660,Newsletter,29616.00,10.75,1.71,8.64,4.25,30116.01
EM-0661,Exclusive Offers,101620.00,36.53,13.27,6.99,1.54,97585.76
EM-0662,Holiday Discounts,410426.00,43.68,13.55,9.92,1.86,32688.73
EM-0663,Customer Appreciation,151479.00,33.92,6.73,4.63,0.93,38127.08
EM-0664,Newsletter,342503.00,48.21,12.27,2.03,3.71,40912.87
EM-0665,Flash Sale,184788.00,26.06,10.29,6.21,3.16,67473.10
EM-0666,Customer Appreciation,269699.00,28.50,12.29,2.86,1.52,20206.13
EM-0667,Newsletter,71067.00,44.53,18.20,8.04,1.20,82903.39
EM-0668,Customer Appreciation,260491.00,38.19,5.43,4.68,1.40,93137.72
EM-0669,New Product Launch,140282.00,41.06,6.89,3.46,2.37,29044.85
EM-0670,Customer Appreciation,149152.00,18.56,2.65,0.55,1.70,78097.17
EM-0671,Flash Sale,34731.00,22.43,12.49,0.72,3.24,69988.20
EM-0672,Newsletter,310930.00,39.99,12.82,6.17,4.22,35785.51
EM-0673,Newsletter,163282.00,14.23,9.87,2.76,4.02,83352.99
EM-0674,Flash Sale,198720.00,31.37,8.21,4.07,3.83,84746.22
EM-0675,Flash Sale,11784.00,28.69,12.81,4.70,3.30,75860.27
EM-0676,New Product Launch,45932.00,14.38,3.47,8.97,1.45,91716.77
EM-0677,Flash Sale,79055.00,44.82,4.37,4.64,2.15,54710.78
EM-0678,Customer Appreciation,357342.00,16.26,15.01,3.75,1.21,20580.71
EM-0679,New Product Launch,192767.00,15.04,1.80,4.10,4.11,52741.14
EM-0680,Exclusive Offers,238692.00,40.15,13.54,3.19,2.60,68283.12
EM-0681,Newsletter,453209.00,30.89,5.62,0.81,0.66,48798.55
EM-0682,Newsletter,489182.00,14.10,8.63,7.30,4.98,45146.06
EM-0683,Customer Appreciation,35380.00,35.29,14.92,3.09,2.07,38086.56
EM-0684,Exclusive Offers,390176.00,12.80,14.82,2.61,4.33,39827.46
EM-0685,Customer Appreciation,286560.00,41.16,18.60,2.86,2.06,33304.37
EM-0686,Holiday Discounts,225325.00,32.59,13.10,2.05,2.40,98162.65
EM-0687,Holiday Discounts,59334.00,41.29,5.48,2.45,4.24,60472.38
EM-0688,Newsletter,82396.00,12.71,9.74,5.47,1.21,87864.91
EM-0689,Newsletter,72493.00,27.28,6.35,3.61,1.80,99994.86
EM-0690,Exclusive Offers,74212.00,14.45,1.30,6.76,0.82,49097.91
EM-0691,Customer Appreciation,40365.00,46.37,14.19,4.90,0.38,26046.89
EM-0692,Exclusive Offers,61655.00,29.41,16.06,7.99,4.76,67785.79
EM-0693,New Product Launch,189222.00,15.79,12.62,4.44,0.22,77559.94
EM-0694,Exclusive Offers,242106.00,8.14,19.27,4.13,2.03,2017.30
EM-0695,Holiday Discounts,249816.00,14.74,8.98,2.87,0.83,73730.31
EM-0696,Flash Sale,236897.00,8.45,4.30,0.54,3.16,39792.62
EM-0697,Flash Sale,121508.00,19.76,18.35,0.72,2.36,56975.55
